'Store','Street','City','State','Zip','Phone','Mo-Open','Mo-Closed','Tu-Open','Tu-Closed','We-Open','We-Closed','Th-Open','Th-Closed','Fr-Open','Fr-Closed','Sa-Open','Sa-Closed','Su-Open','Su-Closed'
'Chipotle','601 King St','Alexandria','VA',22315,7035485169,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','4531 Duke St','Alexandria','VA',22304,7033702152,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','6770 Richmond Hwy','Alexandria','VA',22303,7036609214,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5955 Kingstowne Towne Center','Alexandria','VA',22315,7039246018,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2002 Annapolis Mall Sq','Annapolis','MD',21401,4108971925,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1735 N Lynn St - Downtown','Arlington','VA',22209,7032946669,'10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00'
'Chipotle','2231 Crystal Dr','Arlington','VA',22202,7039208779,'10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00','10:30','22:00'
'Chipotle','43660 Yukon Dr','Ashburn','VA',20147,7037299530,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','13501 Connecticut Ave','Aspen Hill','MD',20906,3015982215,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','4300 Wilson Blvd - Downtown Ballston','Ballston','VA',22203,7032439488,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','621 E Pratt St','Baltimore','MD',21202,4108378353,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2400 Boston St','Baltimore','MD',21224,4434784961,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3201 St Paul St','Baltimore','MD',21218,4106621701,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','6314 York Rd','Baltimore','MD',21212,4103777728,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5 Bel Air South Parkway','Bel Air','MD',21014,4105150547,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7600 Old Georgetown Rd','Bethesda','MD',20814,3019079077,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','10400 Old Georgetown Rd','Bethesda','MD',20814,3012142410,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','10201 Martin Luther King Jr Hwy','Bowie','MD',20720,3014644517,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','15500 Excelsior Dr','Bowie','MD',20716,3012624580,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5747 Burke Centre Parkway','Burke','VA',22015,7032502537,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','9141 Alaking Ct Suite 111','Capitol Heights','MD',20743,2407656553,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','6317 Muliplex Dr','Centreville','VA',20121,7038301438,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5049 Westfields Blvd','Centreville','VA',20120,5715226430,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','14416 Chantilly Crossing Lane','Chantilly','VA',20151,7039610688,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','953 Emmet St','Charlottesville','VA',22903,4348720212,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','4471 Willard Ave','Chevy Chase','MD',20815,3016546661,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','8913 Woodyard Road','Clinton','MD',20735,2408466217,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7332 Baltimore Ave','College Park','MD',20740,2405820015,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','23:00','11:00','23:00','11:00','22:00'
'Chipotle','10300 Little Patuxent Pkwy','Columbia','MD',21044,4109971083,'10:00','21:00','10:00','21:00','10:00','21:00','10:00','21:00','10:00','21:00','11:00','18:00','10:00','21:00'
'Chipotle','6181 Old Dobbin Lane','Columbia','MD',21045,4108728688,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1141 N Dupont Hwy','Dover','DE',19901,3026785012,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3046 Solomons Island Rd','Edgewater','MD',21037,4109567484,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','241 North Pottstown Pike','Exton','PA',19341,6109034735,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','13042 Fair Lakes Shopping Center','Fairfax','VA',22033,7032221117,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','11062 Lee Hwy','Fairfax','VA',22030,7039347099,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','11939 Grand Commons Ave','Fairfax','VA',22030,7032227344,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','6299 Seven Corners Center','Falls Church','VA',22044,7035346464,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','358 West Broad Street','Falls Church','VA',22046,7035348301,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','8191 Strawberry Lane','Falls Church','VA',22042,5714235150,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5223 Buckeystown Pike','Frederick','MD',21703,3018460933,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7820 Wormans Mill Rd','Frederick','MD',21701,3016984780,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3051 Plank Rd','Fredericksburg','VA',22401,5405484554,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5420 Southpoint Plaza Way','Fredericksburg','VA',22407,5407106040,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5025 Wellington Rd','Gainesville','VA',20155,5712488036,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','564 N Frederick Ave','Gaithersburg','MD',20877,2406321228,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','96 Main St','Gaithersburg','MD',20878,3019263875,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2503 Brandermill Blvd','Gambrills','MD',21054,4104514161,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','19881 Century Boulevard','Germantown','MD',20874,2406861060,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1070 Virginia Center Parkway','Glen Allen','VA',23059,8045530335,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','10501 W Broad St','Glen Allen','VA',23060,8042907804,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5506 Cherrywood Lane','Greenbelt','MD',20770,3019826722,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','18003 Garland Groh Blvd','Hagerstown','MD',21740,2404208010,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7049 Arundel Mills Blvd','Hanover','MD',21076,4107965028,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5106-I Jonestown Rd','Harrisburg','PA',17109,7176141504,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1144 Elden St','Herndon','VA',20170,7034353325,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','13354 Franklin Farm Road','Herndon','VA',20171,7034354715,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','112 Shawan Rd','Hunt Valley','MD',21031,4107716025,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','5501 Baltimore Ave','Hyattsville','MD',20781,3019272484,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','10526 Connecticut Ave','Kensington','MD',20895,2402927927,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','14354 Baltimore Ave','Laurel','MD',20707,3016042241,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','22720 Three Notch Rd','Lexington Park','MD',20653,2407250330,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','9511 Liberia Ave','Manassas','VA',20111,7035300010,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7311 Sudley Rd','Manassas','VA',20109,7033650213,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7923 L Tysons Corner Center','McLean','VA',22102,7032883890,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','439 E Ridgeville Road','Mount Airy','MD',21771,3018295086,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','136 E Main St','Newark','DE',19711,3028618002,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3333 Olney Sandy Springs Rd','Olney','MD',20832,3015701729,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1809 Reisterstown Rd','Pikesville','MD',21208,4102052854,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','11913 Freedom Drive','Reston','VA',20190,7034355795,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','12152 Sunset Hills Rd','Reston','VA',20190,7034350888,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','810 W Grace St','Richmond','VA',23220,8042549425,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','9200 Stony Point Parkway','Richmond','VA',23235,8042726322,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','21:00'
'Chipotle','11440 Midlothian Turnpike','Richmond','VA',23235,8043792791,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','11728 W Broad St','Richmond','VA',23233,8043608033,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','4930 W Broad St','Richmond','VA',23230,8042824081,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','11830 Rockville Pike','Rockville','MD',20852,3018812600,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','865-B Rockville Pike','Rockville','MD',20851,3012795461,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','14925 Shady Grove Rd','Rockville','MD',20850,3018389222,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1016A South Salisbury Blvd','Salisbury','MD',21801,4105466699,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','557 Ritchie Hwy','Severna Park','MD',21146,4103159501,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','907 Ellsworth Ave','Silver Spring','MD',20910,3016083688,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','12060 Cherry Hill Rd','Silver Spring','MD',20904,3015860430,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','7108 Old Keene Mill Rd','Springfield','VA',22150,7036446982,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','8066 Rolling Rd','Springfield','VA',22153,5714994050,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','21031 Tripleseven Rd','Sterling','VA',20165,7034215079,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','Washington Dulles International','Sterling','VA',20166,7036615018,'06:00','21:00','06:00','21:00','06:00','21:00','06:00','21:00','06:00','21:00','06:00','21:00','06:00','21:00'
'Chipotle','1830 York Rd','Timonium','MD',21093,4103082616,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','801 Goucher Blvd','Towson','MD',21286,4102961742,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','213 Maple Ave E','Vienna','VA',22180,7032551100,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3250 Crain Highway','Waldorf','MD',20603,3016326959,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','251 W Lee Highway','Warrenton','VA',20186,5403411032,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1837 M Street NW','Washington','DC',20036,2024664104,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','601 F Street NW','Washington','DC',20005,2023474701,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1045 5th Street NW','Washington','DC',20001,2026974293,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1516 Connecticut Ave NW','Washington','DC',20036,2022324141,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','1629 Connecticut Ave NW','Washington','DC',20009,2023878261,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','40 Massachusetts Ave NE','Washington','DC',20013,2027065935,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3255 M Street NW','Washington','DC',20007,2023338377,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2600 Connecticut Ave','Washington','DC',20008,2022999111,'11:00','18:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','3113 14th Street NW','Washington','DC',20010,2029392801,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2338 Wisconsin Ave','Washington','DC',20007,2027067508,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','4301 Wisconsin Ave NW','Washington','DC',20016,2022370602,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','309 East Lancaster Ave','Wayne','PA',19087,4843670057,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','101 Turner Lane','West Chester','PA',19380,6103447042,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','631 Baltimore Blvd','Westminster','MD',21157,4108482143,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2012 Pleasant Valley Rd','Winchester','VA',22601,5406679534,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2457 Prince William Parkway','Woodbridge','VA',22192,7034909746,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
'Chipotle','2801 Concord Road','York','PA',17402,7178408414,'11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00','11:00','22:00'
